name;description;address;link_logo;latitude;longitude;vk_link;link_site
Красный крест;Общероссийская общественная организация, которая занимается оказанием гуманитарной помощи людям, пострадавшим в чрезвычайных ситуациях, малообеспеченным и социально незащищённым группам населения, а также ведёт активную работу по обучению людей навыкам оказания первой помощи.;г. Ульяновск, ул. Гагарина, 1;centers/red_cross.jpg;54.322542;48.38813;https://vk.com/redcross_ru;https://www.redcross.ru/
МыВместе;Движение МЫВМЕСТЕ – масштабная акция взаимопомощи, объединившая самых неравнодушных россиян.;г. Ульяновск, ул. Льва Толстого, 58/18;centers/we_together.jpg;54.31207;48.393951;https://vk.com/myvmesterf;https://мывместе.рф/
